questions,answers
asking about pm kisan maan dhan yojna,"pm kisan maan dhan yojana

rs.3000 will be given to the farmer who attains age of 60 years. the land holding should be below 15 bigha. the farmer should be of age 18-40 years old. a contribution has to be given per month varying from amount rs.55 to rs.200 depending upon the age. the registration is free and has to be done in common service centers of their respective block. documents that have to be carried are aadhaar card, bank passbook, land details.

for further details contact vle of common service center "
asking about fertilizer dose of mustard ,"fertilizer dose are urea @12 kg , ssp @30kg and mop@25 kg per bigha."
fruit rot,spray bavistin @ 1gm /lit water
asking about the control of powdery mildew in tomato,told him to spray contaf @ 1ml / l of water
query regarding phompsis blight of brinjal,advised to apply bevistin @ 2gm/lit
asking about the fertilizer dose of brinjal,given him in details
asking about fruit fly in pumpkin,advice him to spray malathion 50 ec @ 2ml/litres of water
asking about treatment of bloat in cow.,suggested to administer afanil @100 ml at atime and repeat the same dose after 6 hours.
asking about the medicine for goat,advice- britax inj-500 mg i/mly x5 days. ostovet-20 ml orally x30 days.trisoliv-20 mltwice daily x30 days.
asking for the manures and fertilizers doses and its procedure of application in terms of per bigha of land for okra crop cultivation.,"200, 14, 41 and 11 kilo grams of farm yard manure or compost, urea, single super phosphate and muriate of potash respectively has been advised for 1 bigha of land to cultivate okra.procedure of application suggested is that to apply half of urea and full doses of ssp, mop and fym as basal during final land pudding and the remaining half of urea to be top dressed at 35-40 days after sowing,."
asking about control of yellow stem borer,recommended him to apply tricel 20 ec ( chloropyriphos)  2ml/lit of water spray 3 time at 5 days interval
micronutrient for brinjal,advised to spray tracel-2 @ 2gm/l of water
asking about cultural practise,explain details
low milk production,give 1. calshakti platina @ 30 ml daily for 20 days 2. give 150 concentrate feed daily
asking about broiler farming.,explain in details about broiler farming.
asking about the control of fungus in tomato,suggest him to apply bavistin @ 2gm/lt of water.
asking about the nursery pond management,explained in details
query regarding vaccination of pig,swine fever vaccine at the age of 2-3 month of age
query to control cut worm in ridge gourd,adviced to apply malathion powder
asking about the control measure of bacterial wilt.,suggested to dench the soil with 1% agromycin.
ferlizer management,explained in detail
query regarding piglet,colostrum feeding to the piglet osttocalcium 10 ml daily to the dam
desease,advised to spray malathion 50 ec @ 2ml /litre water
asking about the govt schemes,explai in details
asking about the source of information of pure goat breed.,"suggested to contact the farm manager ,goat research farm ,burnihat."
control of bud rot in arecanut,apply 1% bordeaux mixture @ 250 ml per plant at the top portion
rice stem borer,advised to spray tricel-20 @ 2 ml/ litre water
asking about the cultivation practice,explained in details
query regarding a cow showing the signs of decrease appetite,bolus  floratone 10 nos / anigest 30 gm 5 ph -- orally as directed
asking about disease managment of duck,recommended to 1. bayrocin 150 mg tab @ sig to be given 1/2 tabfor 15 duck  daily for 3 days 
query regarding pest control measures of tomato,suggested rogor @ 2 ml per litr of water
asking about nutrient management,recommended to spray mahaphal @ 2ml/l water at 20 days interval
want to know regarding fertilizer application in potato,"advice to apply urea 18 kg, ssp 30 kg and potash 9 kg per bigha of land"
asking about the treatment of mastitis of a cow.,suggested to apply the mastilep cream over udder twice a day after cleaning.
asking about the kissan credit card scheme.,suggested mr hoque to approach concerned agricultural development officer and vlew for kissan credit card scheme.
asking about the recommended fertilizer dose for potato.,"suggested to apply-urea@19 kilogram/bigha,ssp@45 kilogram/bigha,mop@12 kilogram/bigha,fym@2 quintal/bigha.half dose of urea and full doses of ssp and mop,fym should be applied at the time of land preparation and remaining urea should be top dressed 20-25 days after planting."
asking about kvk kamrup,"krishi vigyan kendra 
kamrup, kahikuchi
guwahati -781017 
dist. kamrup

contact: 0361-2842513"
asking for cultivation practices,explain in details
asking about pm kisan sanman nidhi,advised him to visit gram sevak
asking about the source of good breed piglet for piggery.,"suggested to contact with base pig breeding farm,khanapara guwahati-22"
root rot in rice,spray contaf @ 2ml per litre of water
asking for control of bud rot in coconut,"recommended him to apply bordeaux mixture.
procedure to prepare bordeaux mixture(1%)- 1. dissolve 100 gm copper sulphate in 5 litres of water in a plastic bucket.
2. dissolve 100 gram of quick lime in 5 litres of water in another plastic bucket.
3. pour the above two mixture from the above two vassels into a third one by gently stirring the mixture all the while.
4. the mixture is to be tested before use for the presence of free copper which is toxic to the plant. dipa a polished knife in the mixture. if the blade shows a reddish colour add more lime to the mixture till the blade does not show staining on deeping."
low milk production,advice to give 1. ostocalcium 1 l mixed with 30 ml of vimeral and give 70 ml daily for 12 days
problem of root rot in betel vine.,advised him to apply blitox 50 @ 2ml/ liter of water.
asking about nutrient management of duckling,"advised him to give ambiplex @ 50 ml for 100 birds daily oally , minfagold @ 40 gm per 100 bird orally daily"
query regarding diarrhoea,tab neocyclin tab pesulin normal saline
control of termite in betel vine,adviced to use tricel 20ec @ 2ml/l of water
asking about nutrient management in coconut	,"told him to apply 750 gram urea, 1250 gram ssp, 900 gram mop, 25 gram borax and 200 gram coconut special per plant in ring method at 1.5 meter distance from the plant.
"
asking about the recommended fertilizer dose for potato,"suggested that recommended fertilizer dose is like-urea@19 kilogram/bigha,ssp@45 kilogram/bigha,mop@12 kilogram/bigha,fym@2 quintal/bigha.half dose of urea and full doses of ssp and mop, fym should be applied at the time of land preparation and remaining urea should be top dressed 20-25 days after planting"
query regarding pm kisan.,--visit dist. agri. office.
asking about control of premature nut dropping from coconut,suggest him to apply borax @ 50 gm/plant.
insect problem.,advised to spray rogor @ 2 ml/ liter water.
asking about treatment of worm infestation in goat.,suggested to administer panacur 150 mg tab @ 1 tab/30 kg body weight. along with that administer liv-52 vet @ 5 ml twice daily.
. asking about the recommended fertilizer dose for potato,"suggested that recommended fertilizer dose is like-urea@19 kilogram/bigha,ssp@45 kilogram/bigha,mop@12 kilogram/bigha,fym@2 quintal/bigha.half dose of urea and full doses of ssp and mop,fym should be applied at the time of land preparation and remaining urea should be top dressed 20-25 days after planting."
asking about the kisan call centre,explain in detail
problem facing in storage of potato due to insect,adviced to use neem plant leaves in the storage condition
"asking about fertilizer dose of potato.
","apply 12 kg urea, 15 kg ssp andf 11 kg mop per bigha of land."
asking about source of selling rice seedlings,suggested to contact district agriculture offece
asking about govt scheme,advised to visit dist agril deptt
asking about the control of fruit rot in sponge gourd,suggested him to spray saaf @ 2gm/liter of water
wanted to register his name,registered
query regarding application of fertilizer in paddy,"recommended to apply 5 kg urea , 6 kg dap and 4 kg mop per bigha"
micronutrient for potato,apply tracel 2 @ 2ml/ltr water
asking about top dressing in paddy,advive to apply urea 3.5kg/bigha
asking for different scemes,replied accordingly
query regarding blight in pumpkin,advised to apply blitox 50wp @ 3gm/lit
asking that he has 100 no.s 35 days old croiler. he wants to gain weight.," tr.:  vimeral 60 ml @ 20 ml daily for 3 days. 
cow: 1. ostovet 1 lit. @ 100 ml orally, daily. 2. vimeral 60 ml @ 10 ml orally, daily."
asking about cauliflower protection from water.,explain in details .
asking about the control measure of leaf curl disease attack in capsicum.,suggested to spray rogor 35 ec @ 2 mililitre / litre of water.
green spinach management,apply aminos vitamin @2ml/litre of water
asking about veterinary expert,told him to contact us back after 2pm.
asking about fertilizer dose of bottle gourd,"suggested to apply fertilizer as urea-50gm,ssp-100gm,dap-50gm,compost-3kg as ring method 1.5ft from the base of the plant"
asking fertiliser dose in mustard,"suggested him to apply urea @ 4.5kg, ssp 35kg and mop@ 5kg/bigha"
asking about the control measure to control phytophthora leaf rot disease in betelvine.,suggested to spray blitox-50@2gram/liter of water.
query regarding not getting the fruits in chilli plant.,-- please spray mohaphol/ biovita/ sagarika 2ml per liter of water or plenofix 1ml/4.5 liter of water by covering the whole plant at 15 days interval in the evening time.
asking about the control measure of root rot in bottle gourd,suggested him to spray contaf @1ml/lit of water
asking about control of root rot,10 jun rainfall(mm) : 11 mm temp(max/min):33.0  / 25.0 humidity(max/min)47.0/0  wind:3.0 
asking about the control measure of bacterial leaf spot,suggested to spray streptomycin 1% along with bordeaux mixture 0.5% at 20 days of interval
asking about fertilizer doses of cabbage,"suggested fertilizer doses as urea-30kg,ssp-50kg,mop-13kg,borax-1kg,compost-1ton"
asking about treatment of blite in potato.,suggested to spray endophil m 45 @ 2gm/lit of water.
asking about treatment of wound in cow.,suggested to clean the wound normal saline and then spray topicure spray over the affected area twice daily.
problem of root rot in chilli.,advised him to apply blitox 50 @ 1 gm / 3 litre of water
asking about pm fasal vima yojona.," it is a crop insurance scheme. if you want to do insurance against you cultivation then through this scheme you can do this. required documents- adhar card, land record, bank details, valid phone number. 
 you can apply in your nearest common service center or bank or district or block office.

"
query regaerding aaplication of vitamin in tea,recommended to spray crop booster @ 600 gm per litr of water
asking about the control measure of late blight disease in potato.,suggested to spray dithane m-45 @ 2 gram / litre of water at 12 days interval for two times.
asking about the control measure insect in squach.,suggested to spray dimethoate 30 ec @ 1.5 ml/lt of water at 15 days of interval.
query regarding bloat,pimpol powder 100 gm - 50 gm orally with molasses normal saline 3 bottle / ors 6 bottle  as directed
want to know regarding soil treatment in cabbage,advice to spray bavistin @ 2 gram/lit of water in the soil
asking about the treatment of poultry,answer is given in detailed
control of nut cracking in arecanut,recommended him to apply borax @ 100 gm/plant
asking about the package of practices for capsicum,given in details regarding the package of practices of capsicum
asking about the nutrient problem in paddy,application of urea 7.5 kg per bigha of land
asking for fruit borer problem,spray confidence 555 @ 1 ml per litre of water
asking about how to cultivate the papaya fruits.  ,"--varieties of papaya you may take- co1, co2, co3. co7. first you have to treat the seed with trichoderma viridi 5gram per kg of seed.
 seed rate for 1 bigha of land is 70 gram. put 2-3 seed per polythene bag 1cm depth. keep the polythene bag in shade and watering then with water cane. 
seedlings will be ready within 60 days.
 in the main field maintain line to line distance 2miter and plant to plant distance also 2 miter. dig the pit of 45 cm depth and incorporate 8 kg of cow dung or compost mixed with soil and 100 gram of neem cake  per pit. and after 3 months of planting please use  1kg of musturd cake or neem cake per plant."
asking about pm kisan man dhan yojana,"told him that it is a pension scheme under which an amount of rs 3000 wull be provided on monthly basis after attaining age of 60 yrs.

documents reqd. are- land documents, bank passbook, bank ifsc code, aadhar card, id proof.
                                              land should be less than 2 ha (15 bigha).
                                              monthly a sum of rs 100 on an average is contributed .

csc adress are vikram aditya gogoi	kakodonga pahuchuwa gaon	9613757056
                                 bedanta kumar borah		9854299751"
asking about the control measure for stem borer in paddy.,"advised to spray tricel 20 ec or classic 20 ec @ 2 ml/lit water,3 sprays at 5 days interval."
asking about treatment of worms infestation in pig.,suggested to administer panacur 150 mg tab @ 1 tab/30 kg body weight.along with that administer liv-52 @ 15 ml twice daily.
querry regarding vitamin in bottle,recommended to spray crop booster @2gm/l water
asking for the control measure against field cricckets and cut worms in potato crop cultivation filed.,'malathion 5% dust' @ 6 kilo grams for per 1 bigha of land has been suggested to apply.
asking about the nutrient management in brinjal,suggested him to apply tracel 2 @ 2gm/l of water
asaking about how to control the fruit drop in bottle gourd.,"-- please spray borax 5-6 gram/liter of water, 3 weeks once in a week to reduce the fruit drop  of bottle gourd. spray planofix 1ml/4 liter of water once in a week. "
banana wilting problem,"drain out the soil for 20 mins then allow the soil to dry, again drench the soil with 1% bavistin"
query regarding cultural practice  of paddy,explained details
asking that he is not getting money of pm kisan.,-- status. not registered due to wrong details. visit dist. agri. office.
asking control of leaf rot in brinjal,apply indofil m-45 @ 2 gram per litre of water
enquired about the cultivation practice of potato,expalined in details
"query regarding goat suffering from acute dirrea and death.
","reply: cal a vety. dr. as the symptom arise and treat, fed planty of nemu sarbat to the affected goat. deworming: zanide 200mg."
farmer asking query regarding fertilizer dose of lemon.,"third year: urea 1 kg, super 2 kg, potash 750 g, borax 50 and 15 kg cowdung per plant in 2 equal split dose once in the month of march/april and other in the month september/october in ring method, 10-15 cm depth and  40-60 meter away from the plant."
asking about the manuring in tea,"apply 30,50,35, kg urea, ssp,mop/bigha"
query regarding management of rice hispa.,advise to spray phosphomidon @ 2g/lt of water.
